Date,Open,High,Low,Close,Adj Close,Volume
2022-02-17,3962.689941,3968.250000,3929.550049,3962.689941,3962.689941,0
2022-02-18,3942.750000,3946.100098,3917.560059,3942.750000,3942.750000,0
2022-02-21,3930.260010,3934.860107,3887.775146,3929.419922,3929.419922,0
2022-02-22,3932.199951,3934.429932,3925.419922,3932.199951,3932.199951,0
2022-02-23,3927.919922,3927.919922,3909.760010,3927.919922,3927.919922,0
2022-02-24,3911.090088,3941.429932,3910.389893,3911.090088,3911.090088,0
2022-02-25,3924.750000,3924.750000,3908.419922,3924.750000,3924.750000,0
2022-02-28,3911.800049,3920.909912,3886.981689,3853.745117,3853.745117,0
2022-03-01,3925.919922,3941.520020,3892.060059,3925.919922,3925.919922,0
2022-03-02,3880.919922,3897.500000,3844.590088,3880.919922,3880.919922,0
2022-03-03,3845.919922,3845.919922,3764.909912,3845.919922,3845.919922,0
2022-03-04,3757.699951,3814.876221,3757.600098,3757.699951,3757.699951,0
2022-03-07,3828.260010,3828.260010,3776.907715,3731.724609,3731.724609,0
2022-03-08,3808.750000,3808.750000,3771.270020,3808.750000,3808.750000,0
2022-03-09,3771.120117,3771.120117,3726.273193,3771.120117,3771.120117,0
2022-03-10,3739.750000,3803.260010,3696.386475,3739.750000,3739.750000,0
2022-03-11,3816.919922,3835.280029,3810.449951,3816.919922,3816.919922,0
2022-03-14,3818.260010,3828.260010,3771.580078,3817.590088,3817.590088,0
2022-03-15,3795.320068,3841.610107,3792.139893,3795.320068,3795.320068,0
2022-03-16,3830.919922,3831.739990,3816.840088,3830.919922,3830.919922,0
2022-03-17,3832.570068,3837.120117,3774.453125,3832.570068,3832.570068,0
2022-03-18,3817.919922,3836.270020,3813.860107,3817.919922,3817.919922,0
2022-03-21,3817.010010,3818.090088,3773.821045,3818.090088,3818.090088,0
2022-03-22,3803.750000,3809.850098,3750.590088,3803.750000,3803.750000,0
2022-03-23,3763.590088,3763.590088,3714.033447,3763.590088,3763.590088,0
2022-03-24,3770.929932,3809.159912,3765.270020,3768.919922,3768.919922,0
2022-03-25,3785.919922,3793.919922,3768.139893,3785.919922,3785.919922,0
2022-03-28,3792.909912,3799.919922,3747.504150,3792.909912,3792.909912,0
2022-03-29,3781.389893,3781.389893,3755.260010,3781.389893,3781.389893,0
2022-03-30,3760.020020,3760.020020,3737.620117,3760.020020,3760.020020,0
2022-03-31,3749.389893,3760.350098,3705.271484,3749.389893,3749.389893,0
2022-04-01,3764.090088,3788.729980,3755.489990,3764.090088,3764.090088,0
2022-04-04,3747.310059,3750.620117,3690.760010,3747.310059,3747.310059,0
2022-04-05,3702.750000,3724.510010,3694.850098,3702.750000,3702.750000,0
2022-04-06,3731.219971,3752.409912,3727.919922,3731.219971,3731.219971,0
2022-04-07,3745.919922,3777.060059,3737.919922,3745.919922,3745.919922,0
2022-04-08,3757.550049,3795.229980,3756.429932,3757.550049,3757.550049,0
2022-04-11,3755.260010,3760.260010,3738.760010,3755.260010,3755.260010,0
2022-04-12,3740.919922,3745.590088,3693.406494,3740.919922,3740.919922,0
2022-04-13,3748.469971,3756.729980,3731.590088,3748.469971,3748.469971,0
2022-04-14,3720.919922,3739.919922,3678.053467,3720.919922,3720.919922,0
2022-04-15,3737.250000,3741.260010,3730.000000,3737.250000,3737.250000,0
2022-04-18,3721.260010,3736.919922,3715.310059,3721.260010,3721.260010,0
2022-04-19,3730.250000,3761.110107,3730.250000,3730.250000,3730.250000,0
2022-04-20,3747.250000,3764.750000,3740.050049,3747.250000,3747.250000,0
2022-04-21,3756.850098,3771.919922,3755.590088,3756.850098,3756.850098,0
2022-04-22,3774.370117,3823.250000,3725.548096,3774.370117,3774.370117,0
2022-04-25,3854.260010,3957.919922,3809.377197,3854.260010,3854.260010,0
2022-04-26,3934.750000,3959.750000,3934.750000,3934.750000,3934.750000,0
2022-04-27,3941.540039,3981.250000,3941.179932,3941.540039,3941.540039,0
2022-04-28,3960.580078,3985.949951,3952.179932,3960.580078,3960.580078,0
2022-04-29,3971.550049,3983.179932,3954.919922,3971.550049,3971.550049,0
2022-05-02,3956.250000,4000.469971,3912.126221,3956.250000,3956.250000,0
2022-05-03,3999.570068,4026.899902,3991.250000,3999.570068,3999.570068,0
2022-05-04,4023.919922,4046.919922,4021.199951,4023.919922,4023.919922,0
2022-05-05,4067.419922,4101.740234,4060.290039,4067.419922,4067.419922,0
2022-05-06,4089.580078,4089.750000,4032.760010,4089.580078,4089.580078,0
2022-05-09,4056.000000,4088.570068,4014.066895,4056.000000,4056.000000,0
2022-05-10,4085.580078,4093.719971,4040.085693,4085.580078,4085.580078,0
2022-05-11,4080.250000,4102.500000,4063.800049,4080.250000,4080.250000,0
2022-05-12,4080.250000,4117.049805,4080.250000,4080.250000,4080.250000,0
2022-05-13,4108.740234,4115.580078,4094.750000,4108.740234,4108.740234,0
2022-05-16,4108.750000,4109.160156,4049.288086,4108.750000,4108.750000,0
2022-05-17,4055.250000,4055.250000,4023.929932,4055.250000,4055.250000,0
2022-05-18,4032.580078,4062.949951,3983.493652,4032.580078,4032.580078,0
2022-05-19,4067.219971,4072.020020,4037.620117,4067.219971,4067.219971,0
2022-05-20,4048.729980,4054.149902,3980.500000,4048.729980,4048.729980,0
2022-05-23,3970.250000,3977.580078,3925.250000,3970.250000,3970.250000,0
2022-05-24,3961.580078,3979.030029,3961.580078,3961.580078,3961.580078,0
2022-05-25,3976.300049,3988.169922,3929.879150,3976.300049,3976.300049,0
2022-05-26,3939.479980,3941.020020,3924.840088,3939.479980,3939.479980,0
2022-05-27,3923.750000,3923.750000,3893.000000,3923.750000,3923.750000,0
2022-05-30,3931.750000,3931.750000,3885.520752,3931.750000,3931.750000,0
2022-05-31,3930.159912,3930.159912,3752.863037,3930.159912,3930.159912,0
2022-06-01,3974.739990,3975.000000,3974.739990,3974.739990,3974.739990,0
2022-06-02,3858.419922,3858.429932,3779.719971,3858.419922,3858.419922,0
2022-06-03,3777.250000,3777.729980,3728.781982,3777.250000,3777.250000,0
2022-06-06,3779.610107,3808.909912,3729.222900,3779.610107,3779.610107,0
2022-06-07,3791.419922,3813.199951,3783.429932,3791.419922,3791.419922,0
2022-06-08,3788.080078,3788.080078,3768.570068,3788.080078,3788.080078,0
2022-06-09,3796.899902,3846.850098,3796.899902,3796.899902,3796.899902,0
2022-06-10,3848.020020,3921.149902,3848.020020,3848.020020,3848.020020,0
2022-06-13,3942.649902,4040.000000,3934.370117,3942.649902,3942.649902,0
2022-06-14,3989.580078,3989.580078,3955.010010,3989.580078,3989.580078,0
2022-06-15,3964.850098,3974.169922,3910.250000,3964.850098,3964.850098,0
2022-06-16,3904.979980,3934.149902,3851.445801,3904.979980,3904.979980,0
2022-06-17,3896.760010,3919.250000,3891.750000,3896.760010,3896.760010,0
2022-06-20,3903.239990,3904.040039,3859.094238,3903.239990,3903.239990,0
2022-06-21,3904.040039,3987.580078,3894.750000,3904.040039,3904.040039,0
2022-06-22,3981.250000,4030.919922,3981.239990,3981.250000,3981.250000,0
2022-06-23,4016.750000,4059.250000,4016.750000,4016.750000,4016.750000,0
2022-06-24,4078.590088,4139.750000,4065.919922,4078.590088,4078.590088,0
2022-06-27,4138.750000,4139.089844,4094.272461,4138.750000,4138.750000,0
2022-06-28,4131.080078,4136.479980,4085.159912,4131.080078,4131.080078,0
2022-06-29,4106.810059,4139.750000,4084.850098,4106.810059,4106.810059,0
2022-06-30,4107.520020,4177.799805,4107.520020,4107.520020,4107.520020,0
2022-07-01,4149.620117,4207.229980,4149.620117,4149.620117,4149.620117,0
2022-07-04,4203.299805,4203.299805,4196.640137,4203.299805,4203.299805,0
2022-07-05,4203.299805,4267.290039,4155.745605,4203.299805,4203.299805,0
2022-07-06,4253.009766,4364.250000,4253.009766,4253.009766,4253.009766,0
2022-07-07,4327.540039,4382.560059,4327.540039,4327.540039,4327.540039,0
2022-07-08,4379.229980,4423.250000,4353.950195,4379.229980,4379.229980,0
2022-07-11,4418.750000,4520.250000,4414.779785,4418.750000,4418.750000,0
2022-07-12,4577.129883,4645.250000,4526.115234,4577.129883,4577.129883,0
2022-07-13,4606.910156,4645.830078,4548.450195,4606.910156,4606.910156,0
2022-07-14,4533.160156,4580.250000,4484.759766,4533.160156,4533.160156,0
2022-07-15,4490.250000,4494.770020,4404.850098,4490.250000,4490.250000,0
2022-07-18,4357.250000,4359.700195,4309.314453,4357.250000,4357.250000,0
2022-07-19,4321.529785,4321.529785,4257.541504,4321.529785,4321.529785,0
2022-07-20,4315.399902,4320.850098,4315.399902,4315.399902,4315.399902,0
2022-07-21,4354.250000,4406.169922,4349.609863,4354.250000,4354.250000,0
2022-07-22,4400.640137,4438.750000,4400.640137,4400.640137,4400.640137,0
2022-07-25,4463.250000,4478.250000,4428.500000,4463.250000,4463.250000,0
2022-07-26,4466.049805,4466.049805,4417.589844,4466.049805,4466.049805,0
2022-07-27,4449.859863,4449.859863,4414.549805,4449.859863,4449.859863,0
2022-07-28,4427.890137,4427.890137,4361.580078,4427.890137,4427.890137,0
2022-07-29,4373.580078,4374.089844,4243.250000,4373.580078,4373.580078,0
2022-08-01,4285.250000,4291.819824,4219.250000,4285.250000,4285.250000,0
2022-08-02,4257.580078,4320.750000,4257.580078,4257.580078,4257.580078,0
2022-08-03,4305.709961,4343.209961,4305.709961,4305.709961,4305.709961,0
2022-08-04,4311.319824,4311.319824,4266.029785,4311.319824,4311.319824,0
2022-08-05,4304.250000,4355.750000,4248.057617,4304.250000,4304.250000,0
2022-08-08,4343.350098,4343.350098,4292.857910,4343.350098,4343.350098,0
2022-08-09,4310.490234,4314.750000,4266.813965,4310.490234,4310.490234,0
2022-08-10,4335.250000,4348.939941,4275.220215,4335.250000,4335.250000,0
2022-08-11,4270.589844,4270.589844,4224.089844,4270.589844,4270.589844,0
2022-08-12,4231.250000,4231.250000,4181.627441,4231.250000,4231.250000,0
2022-08-15,4160.259766,4177.000000,4157.250000,4160.259766,4160.259766,0
2022-08-16,4159.919922,4210.259766,4112.942383,4159.919922,4159.919922,0
2022-08-17,4237.580078,4312.200195,4232.640137,4237.580078,4237.580078,0
2022-08-18,4342.799805,4412.899902,4294.974121,4342.799805,4342.799805,0
2022-08-19,4394.919922,4426.899902,4394.830078,4394.919922,4394.919922,0
2022-08-22,4375.250000,4413.149902,4373.250000,4375.250000,4375.250000,0
2022-08-23,4398.569824,4404.990234,4362.250000,4398.569824,4398.569824,0
2022-08-24,4362.419922,4375.709961,4305.545898,4362.419922,4362.419922,0
2022-08-25,4390.580078,4426.770020,4356.264160,4390.580078,4390.580078,0
2022-08-26,4392.180176,4398.180176,4370.169922,4392.180176,4392.180176,0
2022-08-29,4399.359863,4406.540039,4353.084473,4399.359863,4399.359863,0
2022-08-30,4375.580078,4406.950195,4353.479980,4375.580078,4375.580078,0
2022-08-31,4411.919922,4445.250000,4368.269531,4411.919922,4411.919922,0
2022-09-01,4419.919922,4474.080078,4380.709961,4419.919922,4419.919922,0
2022-09-02,4478.750000,4503.580078,4435.149902,4478.750000,4478.750000,0
2022-09-05,4484.750000,4490.580078,4436.122559,4484.750000,4484.750000,0
2022-09-06,4461.580078,4500.490234,4411.767578,4461.580078,4461.580078,0
2022-09-07,4600.000000,4500.740234,4432.247559,4600.000000,4600.000000,0
2022-09-08,4398.549805,4410.250000,4349.154785,4398.549805,4398.549805,0
2022-09-09,4396.000000,4421.040039,4353.250000,4396.000000,4396.000000,0
2022-09-12,4351.250000,4366.450195,4304.630371,4351.250000,4351.250000,0
2022-09-13,4359.500000,4426.629883,4310.433105,4359.500000,4359.500000,0
2022-09-14,4410.750000,4424.750000,4375.250000,4410.750000,4410.750000,0
2022-09-15,4390.750000,4416.200195,4340.371094,4390.750000,4390.750000,0
2022-09-16,4416.339844,4445.250000,4413.250000,4416.339844,4416.339844,0
2022-09-19,4433.450195,4443.439941,4370.547852,4433.450195,4433.450195,0
2022-09-20,4405.250000,4423.850098,4356.336914,4405.250000,4405.250000,0
2022-09-21,4424.500000,4424.500000,4394.000000,4424.500000,4424.500000,0
2022-09-22,4406.250000,4406.250000,4360.037109,4406.250000,4406.250000,0
2022-09-23,4363.350098,4442.569824,4310.727539,4363.350098,4363.350098,0
2022-09-26,4436.759766,4501.259766,4340.508301,4436.759766,4436.759766,0
2022-09-27,4539.859863,4573.259766,4515.310059,4539.859863,4539.859863,0
2022-09-28,4552.259766,4554.850098,4474.310059,4552.259766,4552.259766,0
2022-09-29,4488.259766,4546.259766,4439.673828,4488.259766,4488.259766,0
2022-09-30,4526.950195,4608.759766,4479.862305,4526.950195,4526.950195,0
2022-10-03,4608.259766,4608.259766,4519.259766,4608.259766,4608.259766,0
2022-10-04,4528.270020,4528.299805,4463.910156,4528.270020,4528.270020,0
2022-10-05,4494.759766,4557.549805,4446.549316,4494.759766,4494.759766,0
2022-10-06,4462.152832,4655.160156,4449.598633,4462.152832,4462.152832,0
2022-10-07,4611.759766,4635.259766,4559.810547,4611.759766,4611.759766,0
2022-10-10,4618.259766,4618.259766,4567.585449,4618.259766,4618.259766,0
2022-10-11,4604.279785,4631.709961,4552.697266,4604.279785,4604.279785,0
2022-10-12,4605.509766,4622.850098,4599.379883,4605.509766,4605.509766,0
2022-10-13,4606.160156,4656.549805,4596.080078,4606.160156,4606.160156,0
2022-10-14,4573.959961,4652.759766,4546.509766,4573.959961,4573.959961,0
2022-10-17,4696.259766,4733.259766,4647.488281,4696.259766,4696.259766,0
2022-10-18,4733.259766,4772.259766,4681.561523,4733.259766,4733.259766,0
2022-10-19,4760.359863,4830.160156,4711.789063,4760.359863,4760.359863,0
2022-10-20,4838.259766,4919.259766,4784.925293,4838.259766,4838.259766,0
2022-10-21,4902.250000,4957.149902,4879.299805,4902.250000,4902.250000,0
2022-10-24,4916.350098,4997.149902,4867.790039,4916.350098,4916.350098,0
2022-10-25,4988.250000,4988.250000,4915.390137,4988.250000,4988.250000,0
2022-10-26,4973.450195,4985.100098,4877.759766,4973.450195,4973.450195,0
2022-10-27,4882.319824,4884.720215,4802.259766,4882.319824,4882.319824,0
2022-10-28,4798.259766,4849.379883,4753.152344,4798.259766,4798.259766,0
2022-10-31,4833.259766,4903.709961,4831.649902,4833.259766,4833.259766,0
2022-11-01,4937.000000,5000.759766,4886.629883,4937.000000,4937.000000,0
2022-11-02,5002.250000,5006.919922,4995.000000,5002.250000,5002.250000,0
2022-11-03,5001.279785,5073.259766,5001.279785,5001.279785,5001.279785,0
2022-11-04,5067.109863,5089.299805,5000.569824,5067.109863,5067.109863,0
2022-11-07,4959.294434,5107.250000,4950.479980,4959.294434,4959.294434,0
2022-11-08,5106.000000,5121.379883,4964.279785,5106.000000,5106.000000,0
2022-11-09,4972.250000,4975.600098,4898.069824,4972.250000,4972.250000,0
2022-11-10,4894.810059,4907.430176,4779.720215,4894.810059,4894.810059,0
2022-11-11,4801.169922,4804.339844,4752.948730,4801.169922,4801.169922,0
2022-11-14,4716.702637,4809.029785,4737.438477,4716.702637,4716.702637,0
2022-11-15,4803.560059,4824.939941,4760.220703,4803.560059,4803.560059,0
2022-11-16,4843.930176,4956.770020,4843.589844,4843.930176,4843.930176,0
2022-11-17,4938.810059,5035.700195,4891.731934,4938.810059,4938.810059,0
2022-11-18,4999.169922,5010.209961,4949.609863,4999.169922,4999.169922,0
2022-11-21,4987.080078,4999.660156,4953.180176,4987.080078,4987.080078,0
2022-11-22,4946.250000,4948.839844,4895.169922,4946.250000,4946.250000,0
2022-11-23,4905.009766,4905.649902,4873.549805,4905.009766,4905.009766,0
2022-11-24,4881.609863,4905.830078,4837.708008,4881.609863,4881.609863,0
2022-11-25,4899.810059,4911.580078,4864.240234,4899.810059,4899.810059,0
2022-11-28,4863.819824,4871.339844,4822.636719,4863.819824,4863.819824,0
2022-11-29,4833.339844,4833.339844,4802.069824,4833.339844,4833.339844,0
2022-11-30,4809.339844,4837.410156,4793.379883,4809.339844,4809.339844,0
2022-12-01,4828.299805,4828.299805,4774.500000,4828.299805,4828.299805,0
2022-12-02,4785.580078,4786.720215,4722.255371,4785.580078,4785.580078,0
2022-12-05,4771.850098,4816.959961,4724.941406,4771.850098,4771.850098,0
2022-12-06,4823.370117,4836.089844,4815.640137,4823.370117,4823.370117,0
2022-12-07,4831.009766,4838.419922,4785.065918,4831.009766,4831.009766,0
2022-12-08,4820.229980,4822.950195,4775.824219,4820.229980,4820.229980,0
2022-12-09,4820.580078,4828.350098,4774.473633,4820.580078,4820.580078,0
2022-12-12,4778.457520,4853.450195,4794.299805,4778.457520,4778.457520,0
2022-12-13,4844.129883,4846.140137,4790.950195,4844.129883,4844.129883,0
2022-12-14,4762.580078,4779.140137,4755.899902,4762.580078,4762.580078,0
2022-12-15,4776.580078,4799.750000,4776.580078,4776.580078,4776.580078,0
2022-12-16,4790.919922,4805.879883,4790.919922,4790.919922,4790.919922,0
2022-12-19,4762.960449,4788.629883,4743.477539,4762.960449,4762.960449,0
2022-12-20,4774.250000,4779.819824,4761.609863,4774.250000,4774.250000,0
2022-12-21,4763.959961,4766.750000,4718.941406,4763.959961,4763.959961,0
2022-12-22,4762.970215,4762.970215,4752.200195,4762.970215,4762.970215,0
2022-12-23,4757.250000,4758.390137,4741.890137,4757.250000,4757.250000,0
2022-12-26,4730.299805,4757.250000,4727.250000,4730.299805,4730.299805,0
2022-12-27,4727.580078,4776.140137,4683.370117,4727.580078,4727.580078,0
2022-12-28,4761.250000,4777.470215,4748.830078,4761.250000,4761.250000,0
2022-12-29,4771.740234,4841.200195,4766.160156,4771.740234,4771.740234,0
2022-12-30,4848.129883,4849.080078,4846.839844,4848.129883,4848.129883,0
2023-01-02,4846.919922,4846.250000,4846.250000,4846.919922,4846.919922,0
2023-01-03,4846.250000,4857.600098,4812.446777,4846.250000,4846.250000,0
2023-01-04,4860.259766,4936.680176,4860.259766,4860.259766,4860.259766,0
2023-01-05,4928.879883,5004.490234,4928.879883,4928.879883,4928.879883,0
2023-01-06,4963.430176,4966.870117,4879.649902,4963.430176,4963.430176,0
2023-01-09,4858.250000,4871.339844,4812.082031,4858.250000,4858.250000,0
2023-01-10,4848.790039,4852.520020,4797.250000,4848.790039,4848.790039,0
2023-01-11,4783.750000,4785.930176,4730.910156,4783.750000,4783.750000,0
2023-01-12,4729.950195,4729.950195,4666.049805,4702.430176,4702.430176,0
